name,franch_id,year_id,lg_id,div_id,rank,g,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,x2b,x3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,i_pouts,ha,hra,bba,soa,e,dp,fp,attendance
Baltimore Orioles,BAL,2018,AL,E,5,162,47,115,N,N,N,N,622,5507,1317,242,15,188,422,1412,81,22,57,35,892,824,5.18,2,7,28,4293,1552,234,589,1203,104,159,0.982,1564192
Boston Red Sox,BOS,2018,AL,E,1,162,108,54,Y,N,Y,Y,876,5623,1509,355,31,208,569,1253,125,31,55,48,647,608,3.75,2,14,46,4376,1305,176,512,1558,77,106,0.987,2895575
Chicago White Sox,CHW,2018,AL,C,4,162,62,100,N,N,N,N,656,5523,1332,259,40,182,425,1594,98,41,66,32,848,772,4.84,0,8,34,4311,1405,196,653,1259,114,135,0.981,1608817
Chicago Cubs,CHC,2018,NL,C,2,163,95,68,N,Y,N,N,761,5624,1453,286,34,167,576,1388,66,38,78,46,645,598,3.65,1,18,46,4429,1319,157,622,1333,104,155,0.983,3181089
Cincinnati Reds,CIN,2018,NL,C,5,162,67,95,N,N,N,N,696,5532,1404,251,25,172,559,1376,77,33,65,35,819,741,4.63,1,6,38,4323,1491,228,532,1258,95,144,0.984,1629356
Cleveland Indians,CLE,2018,AL,C,1,162,91,71,Y,N,N,N,818,5595,1447,297,19,216,554,1189,135,36,80,44,648,611,3.77,5,17,41,4372,1349,200,407,1544,83,123,0.986,1926701
Colorado Rockies,COL,2018,NL,W,2,163,91,72,N,Y,N,N,780,5541,1418,280,42,210,507,1397,95,33,51,37,745,699,4.33,0,10,51,4357,1378,184,525,1409,74,162,0.988,3015880
Detroit Tigers,DET,2018,AL,C,3,162,64,98,N,N,N,N,630,5494,1326,284,35,135,428,1341,70,30,52,40,796,726,4.58,0,2,37,4276,1423,216,491,1215,95,126,0.984,1856970
Houston Astros,HOU,2018,AL,W,1,162,103,59,Y,N,N,N,797,5453,1390,278,18,205,565,1197,71,26,61,45,534,503,3.11,3,12,46,4365,1164,152,435,1687,63,116,0.989,2980549
Kansas City Royals,KCR,2018,AL,C,5,162,58,104,N,N,N,N,638,5505,1350,283,29,155,427,1310,117,38,67,40,833,786,4.94,2,8,33,4296,1542,205,549,1157,77,142,0.987,1665107
Los Angeles Angels of Anaheim,ANA,2018,AL,W,4,162,80,82,N,N,N,N,721,5472,1323,249,23,214,514,1300,89,22,73,39,722,662,4.15,1,9,35,4312,1353,205,546,1386,76,173,0.987,3020216
Los Angeles Dodgers,LAD,2018,NL,W,1,163,92,71,Y,N,Y,N,804,5572,1394,296,33,235,647,1436,75,24,61,39,610,554,3.38,0,11,48,4428,1279,179,422,1565,100,111,0.983,3857500
Miami Marlins,FLA,2018,NL,E,5,161,63,98,N,N,N,N,589,5488,1303,222,24,128,455,1384,45,31,73,31,809,762,4.76,1,12,30,4326,1388,192,605,1249,83,133,0.986,811104
Milwaukee Brewers,MIL,2018,NL,C,1,163,96,67,Y,N,N,N,754,5542,1398,252,24,218,537,1458,124,32,58,41,659,606,3.73,0,14,49,4383,1259,173,553,1428,108,141,0.982,2850875
Minnesota Twins,MIN,2018,AL,C,2,162,78,84,N,N,N,N,738,5526,1380,318,22,166,534,1328,47,27,37,38,775,721,4.5,2,7,37,4330,1425,198,573,1377,97,127,0.984,1959197
New York Yankees,NYY,2018,AL,E,2,162,100,62,N,Y,N,N,851,5515,1374,269,23,267,625,1421,63,21,62,59,669,611,3.78,2,11,49,4369,1311,177,494,1634,94,95,0.984,3482855
New York Mets,NYM,2018,NL,E,4,162,77,85,N,N,N,N,676,5468,1282,265,34,170,566,1404,71,39,73,42,707,661,4.07,3,15,41,4382,1364,185,484,1446,88,121,0.985,2224995
Oakland Athletics,OAK,2018,AL,W,2,162,97,65,N,Y,N,N,813,5579,1407,322,20,227,550,1381,35,21,76,44,674,621,3.81,2,14,44,4397,1303,184,474,1237,89,125,0.985,1573616
Philadelphia Phillies,PHI,2018,NL,E,3,162,80,82,N,N,N,N,677,5424,1271,241,30,186,582,1520,69,26,64,32,728,665,4.14,0,12,44,4337,1366,171,500,1465,123,138,0.979,2158124
Pittsburgh Pirates,PIT,2018,NL,C,4,161,82,79,N,N,N,N,692,5447,1381,290,38,157,474,1229,70,38,59,52,693,637,4,3,16,40,4302,1380,174,497,1336,105,129,0.982,1465316
San Diego Padres,SDP,2018,NL,W,5,162,66,96,N,N,N,N,617,5486,1289,250,30,162,471,1523,95,36,31,36,767,713,4.4,0,5,36,4371,1430,185,519,1399,100,127,0.983,2168536
Seattle Mariners,SEA,2018,AL,W,3,162,89,73,N,N,N,N,677,5513,1402,256,32,176,430,1221,79,37,70,41,711,664,4.13,3,12,60,4346,1396,195,400,1328,88,152,0.985,2299489
San Francisco Giants,SFG,2018,NL,W,4,162,73,89,N,N,N,N,603,5541,1324,255,30,133,448,1467,77,34,49,42,699,641,3.95,1,15,36,4384,1387,156,524,1269,97,160,0.984,3156185
St. Louis Cardinals,STL,2018,NL,C,3,162,88,74,N,N,N,N,759,5498,1369,248,9,205,525,1380,63,32,80,48,691,622,3.85,1,8,43,4366,1354,144,593,1337,133,151,0.978,3403587
Tampa Bay Rays,TBD,2018,AL,E,3,162,90,72,N,N,N,N,716,5475,1415,274,43,150,540,1388,128,51,101,50,646,602,3.74,0,14,52,4345,1236,164,501,1421,85,136,0.986,1154973
Texas Rangers,TEX,2018,AL,W,5,162,67,95,N,N,N,N,737,5453,1308,266,24,194,555,1484,74,35,88,34,848,783,4.92,1,5,42,4293,1516,222,491,1121,120,168,0.98,2107107
Toronto Blue Jays,TOR,2018,AL,E,4,162,73,89,N,N,N,N,709,5477,1336,320,16,217,499,1387,47,30,58,37,832,772,4.85,0,3,39,4301,1476,208,551,1298,101,138,0.983,2325281
Washington Nationals,WSN,2018,NL,E,2,162,82,80,N,N,N,N,771,5517,1402,284,25,191,631,1289,119,33,59,40,682,649,4.04,2,7,40,4338,1320,198,487,1417,64,115,0.989,2529604
